"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;",,,,,,";"buzzardLabel";7;"";;;
4;"";"Version1.0.0.";1;"";;;
5;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
6;"H4,H3,H2,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
7;"R1";"SLIDER_POT";1;"SLIDER_POT";;;
8;"K2,K1";"HEADER_MALE_3X1";2;"HEADER_MALE_3X1";;;
9;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
10;"C2,C1";"0603C";2;"0.1uF";;;
